Rank,Name,developper,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,gamename,metaNote,metaNbVote,userNote,userNbVote,samename,Like_Percent,metaNoteQ,serieB
15,Wii Fit Plus,Nintendo,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Wii Fit Plus,80,33,7.5,68,1,0.92,4,1
16,Kinect Adventures!,Good Science Studio,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,Kinect Adventures!,61,45,6.3,122,1,0.94,3,0
17,Grand Theft Auto V,Rockstar North,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,Grand Theft Auto V,97,66,8.4,6662,1,0.95,4,0
18,Grand Theft Auto: San Andreas,Rockstar North,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,Grand Theft Auto: San Andreas,95,80,9.1,2736,1,0.0,4,1
20,Brain Age: Train Your Brain in Minutes a Day,Nintendo,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,Brain Age: Train Your Brain in Minutes a Day!,77,58,7.7,59,1,0.81,4,1
23,Super Mario Bros. 3,Nintendo,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,Super Mario Advance 4: Super Mario Bros. 3,94,25,8.9,223,1,0.94,4,1
24,Grand Theft Auto V,Rockstar North,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,Grand Theft Auto V,97,66,8.4,6662,1,0.95,4,0
25,Grand Theft Auto: Vice City,Rockstar North,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,Grand Theft Auto: Vice City,95,62,8.8,1209,1,0.0,4,1
28,Brain Age 2: More Training in Minutes a Day,Nintendo,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,Brain Age 2: More Training in Minutes a Day,77,37,7.2,26,1,0.83,4,1
29,Gran Turismo 3: A-Spec,Polyphony Digital,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,Gran Turismo 3: A-Spec,95,54,8.4,407,1,0.95,4,1
30,Call of Duty: Modern Warfare 3,Sledgehammer Games,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,Call of Duty: Modern Warfare 3,88,81,3.5,8631,1,0.96,4,0
32,Call of Duty: Black Ops,Treyarch,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,Call of Duty: Black Ops Cold War,76,35,3.4,1216,1,0.95,4,1
33,Pokemon X/Pokemon Y,Game Freak,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,Pokemon X,87,71,7.5,1403,1,0.94,4,1
35,Call of Duty: Black Ops II,Treyarch,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,Call of Duty: Black Ops II,74,11,4.7,1928,1,0.97,3,1
36,Call of Duty: Black Ops II,Treyarch,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,Call of Duty: Black Ops II,74,11,4.7,1928,1,0.97,3,1
37,Call of Duty: Modern Warfare 2,Infinity Ward,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,Call of Duty: Modern Warfare 2,94,100,6.6,3011,1,0.97,4,0
38,Call of Duty: Modern Warfare 3,Sledgehammer Games,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,Call of Duty: Modern Warfare 3,88,81,3.5,8631,1,0.96,4,0
39,Grand Theft Auto III,DMA Design,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,Grand Theft Auto III,97,56,8.4,976,1,0.0,4,1
40,Super Smash Bros. Brawl,Game Arts,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Super Smash Bros. Brawl,93,81,8.8,2074,1,0.96,4,0
41,Call of Duty: Black Ops,Treyarch,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,Call of Duty: Black Ops Cold War,76,35,3.4,1216,1,0.95,4,1
42,Animal Crossing: Wild World,Nintendo,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,Animal Crossing: Wild World,86,57,8.5,309,1,0.95,4,0
43,Mario Kart 7,Entertainment Analysis & Development Division,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,Mario Kart 7,85,73,8.2,861,1,0.94,4,1
44,Halo 3,Bungie,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Halo 3,94,86,8.1,5141,1,0.96,4,0
45,Grand Theft Auto V,Rockstar North,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,Grand Theft Auto V,97,66,8.4,6662,1,0.95,4,0
47,Super Mario 64,Nintendo,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Super Mario 64,94,13,9.1,1450,1,0.96,4,0
48,Gran Turismo 4,Polyphony Digital,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,Gran Turismo 4,89,74,8.7,401,1,0.96,4,1
49,Super Mario Galaxy,Nintendo,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Super Mario Galaxy,97,73,9.1,3350,1,0.0,4,1
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Game Freak,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,Pokemon Omega Ruby,83,61,7.5,913,1,0.95,4,1
52,Grand Theft Auto IV,Rockstar North,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,Grand Theft Auto IV,98,64,7.7,4189,1,0.94,4,1
53,Gran Turismo,Polyphony Digital,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,Gran Turismo Sport,75,83,6.1,1705,1,0.0,3,0
55,Gran Turismo 5,Polyphony Digital,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,Gran Turismo 5,84,82,7.8,1277,1,0.91,4,1
56,Call of Duty: Modern Warfare 2,Infinity Ward,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,Call of Duty: Modern Warfare 2,94,100,0.0,0,1,0.97,4,0
57,Grand Theft Auto IV,Rockstar North,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,Grand Theft Auto IV,98,64,7.7,4189,1,0.94,4,1
60,Super Mario 64,Nintendo,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,Super Mario 64,94,13,9.1,1450,1,0.96,4,0
61,Just Dance 3,Ubisoft,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Just Dance 3,70,34,7.7,18,1,0.91,3,1
62,Call of Duty: Ghosts,Infinity Ward,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,Call of Duty: Ghosts,78,49,4.0,1731,1,0.91,4,1
63,Halo: Reach,Bungie,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,Halo: Reach,91,99,8.4,2792,1,0.97,4,1
64,Mario Kart 64,Nintendo,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,Mario Kart 64,83,15,8.6,437,1,0.95,4,1
65,New Super Mario Bros. 2,Nintendo,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,New Super Mario Bros. 2,78,70,7.2,610,1,0.93,4,1
66,Halo 4,343 Industries,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,Halo 4,87,87,7.1,3674,1,0.9,4,0
67,Final Fantasy VII,Square Enix,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,Final Fantasy VII Remake,87,126,8.1,7252,1,0.0,4,0
68,Call of Duty: Ghosts,Infinity Ward,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,Call of Duty: Ghosts,78,49,4.0,1731,1,0.91,4,1
69,Just Dance 2,Ubisoft,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Just Dance 2,74,24,7.2,30,1,0.9,3,1
70,Gran Turismo 2,Polyphony Digital,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,Gran Turismo 2,93,23,9.0,267,1,0.95,4,1
71,Call of Duty 4: Modern Warfare,Infinity Ward,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,Call of Duty 4: Modern Warfare,94,70,8.5,1513,1,0.94,4,1
72,Donkey Kong Country,Retro Studios,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,Donkey Kong Country: Tropical Freeze,86,75,8.6,650,1,0.95,4,1
73,Minecraft,Mojang AB,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Minecraft,93,33,8.0,6582,1,0.0,4,0
74,Animal Crossing: New Leaf,Nintendo,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,Animal Crossing: New Leaf,88,70,8.7,867,1,0.96,4,1
75,Mario Party DS,Hudson Soft,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,Mario Party DS,72,27,7.9,143,1,0.97,3,1
76,The Elder Scrolls V: Skyrim,Bethesda Game Studios,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,The Elder Scrolls V: Skyrim,94,32,8.4,11777,1,0.96,4,0
78,FIFA 16,EA Sports,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,FIFA 16,82,42,4.4,1016,1,0.0,4,1
79,Wii Party,Nd Cube,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Wii Party,68,42,7.9,100,1,0.95,3,1
80,Halo 2,343 Industries,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Halo 2: Anniversary,71,5,8.1,44,1,0.96,3,0
81,Mario Party 8,Hudson,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Mario Party 8,62,41,6.5,280,1,0.92,3,1
83,FIFA Soccer 13,Electronic Arts,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,FIFA Soccer 13,88,37,6.6,390,1,0.92,4,1
84,The Sims 3,The Sims Studio,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,The Sims 3,86,75,7.8,1159,1,0.0,4,0
85,GoldenEye 007,Rare Ltd.,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,GoldenEye 007,96,21,9.0,730,1,0.95,4,0
86,Mario & Sonic at the Olympic Games,Sega,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Mario & Sonic at the Olympic Games Tokyo 2020,69,76,6.9,153,1,0.0,3,0
87,Final Fantasy X,SquareSoft,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,Final Fantasy X,92,53,8.9,1770,1,0.91,4,0
88,Final Fantasy VIII,SquareSoft,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,Final Fantasy VIII,90,24,8.7,1116,1,0.0,4,0
90,Pac-Man,Bandai Namco Games,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,Pac-Man Championship Edition 2,78,17,7.0,23,1,0.0,4,0
91,Grand Theft Auto: Liberty City Stories,Rockstar Leeds,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,Grand Theft Auto: Liberty City Stories,88,65,7.7,566,1,0.0,4,1
92,Super Mario Galaxy 2,Nintendo EAD Tokyo ,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Super Mario Galaxy 2,97,87,9.1,2668,1,0.96,4,0
93,Star Wars Battlefront (2015),EA DICE,PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,Star Wars Battlefront,73,59,5.1,2602,1,0.89,3,0
94,Call of Duty: Advanced Warfare,Sledgehammer Games,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,Call of Duty: Advanced Warfare,83,39,5.8,1684,1,0.88,4,1
95,The Legend of Zelda: Ocarina of Time,Nintendo,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,The Legend of Zelda: Ocarina of Time,99,22,9.1,6477,1,0.96,4,1
97,Super Mario Bros. 2,Nintendo,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,New Super Mario Bros. 2,78,70,7.2,610,1,0.9,4,0
98,Super Smash Bros. for Wii U and 3DS,Bandai Namco Games,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,Super Smash Bros. for Wii U,92,77,8.9,2059,1,0.94,4,0
99,Call of Duty: World at War,Treyarch,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,Call of Duty: World at War,84,84,7.6,684,1,0.95,4,1
100,Battlefield 3,EA DICE,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,Battlefield 3,89,61,7.6,5424,1,0.89,4,0
101,The Legend of Zelda: Twilight Princess,Nintendo,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,The Legend of Zelda: Twilight Princess,95,73,9.0,2173,1,0.96,4,1
103,Just Dance,Ubisoft,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Just Dance 2021,70,14,5.4,14,1,0.0,3,0
104,Battlefield 3,EA DICE,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,Battlefield 3,89,61,7.6,5424,1,0.89,4,0
105,Need for Speed Underground,EA Black Box,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,Need for Speed Underground,85,33,8.6,241,1,0.95,4,1
106,Tekken 3,Namco,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,Tekken 3,96,15,9.1,721,1,0.9,4,1
107,Crash Bandicoot 3: Warped,Naughty Dog,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,Crash Bandicoot 3: Warped,91,12,9.0,746,1,0.95,4,1
108,Super Smash Bros. Melee,HAL Labs,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,Super Smash Bros. Melee,92,38,9.1,912,1,0.95,4,0
109,Mario Kart 8,Nintendo,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,Mario Kart 8 Deluxe,92,95,8.6,2181,1,0.93,4,0
110,Fallout 4,Bethesda Game Studios,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,Fallout 4,84,38,5.6,9050,1,0.93,4,0
111,Mario Kart: Double Dash!!,Nintendo,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,Mario Kart: Double Dash!!,87,58,8.6,443,1,0.96,4,1
112,Just Dance 4,Ubisoft,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,Just Dance 4,74,10,7.7,35,1,0.93,3,1
113,FIFA 14,EA Canada,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,FIFA 14,87,26,6.3,728,1,0.0,4,1
116,Uncharted 3: Drake's Deception,Naughty Dog,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,Uncharted 3: Drake's Deception,92,97,0.0,0,1,0.95,4,1
117,Crash Bandicoot,Toys for Bob,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,Crash Bandicoot 4: It's About Time,85,95,8.1,679,1,0.0,4,0
118,Zumba Fitness,"Pipeworks Software, Inc.",Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,Zumba Fitness: Join the Party,0,4,5.6,5,1,0.0,1,0
119,Gears of War 2,Epic Games,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,Gears of War 2,93,90,7.9,3237,1,0.96,4,1
120,Uncharted 2: Among Thieves,Naughty Dog,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,Uncharted 2: Among Thieves,96,105,8.8,7096,1,0.96,4,1
121,Call of Duty 4: Modern Warfare,Infinity Ward,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,Call of Duty 4: Modern Warfare,94,70,8.5,1513,1,0.94,4,1
123,Big Brain Academy,Nintendo,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,Big Brain Academy,74,45,7.5,30,1,0.93,3,0
124,Red Dead Redemption,Rockstar Games,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,Red Dead Redemption 2,97,99,8.5,16969,1,0.96,4,1
125,FIFA 15,EA Sports,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,FIFA 15,2,2,4.7,130,1,0.0,1,1
126,Donkey Kong Country Returns,Retro Studios,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Donkey Kong Country Returns,87,77,8.6,499,1,0.96,4,1
127,The Elder Scrolls V: Skyrim,Bethesda Game Studios,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,The Elder Scrolls V: Skyrim,94,32,8.4,11777,1,0.96,4,0
128,The Legend of Zelda,Nintendo,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,The Legend of Zelda: Breath of the Wild,97,109,8.7,17325,1,0.0,4,0
129,Assassin's Creed III,Ubisoft,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,Assassin's Creed III,85,41,6.9,1572,1,0.94,4,0
130,Halo: Combat Evolved,Bungie Software,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Halo: Combat Evolved,97,68,8.7,2592,1,0.96,4,1
132,Kingdom Hearts,Square Enix,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,Kingdom Hearts III,83,88,8.0,2395,1,0.0,4,0
134,Halo 3: ODST,Bungie,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,Halo 3: ODST,83,94,7.6,1586,1,0.95,4,0
135,Red Dead Redemption,Rockstar Games,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,Red Dead Redemption 2,97,99,0.0,0,1,0.96,4,1
136,Super Mario Sunshine,Nintendo,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,Super Mario Sunshine,92,61,8.4,863,1,0.94,4,1
137,Street Fighter II: The World Warrior,Capcom,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,Street Fighter II: The World Warrior,0,4,7.0,4,1,0.0,1,1
138,World of Warcraft,Blizzard Entertainment,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,World of Warcraft,93,57,7.4,3172,1,0.84,4,0
139,Driver,Reflections Interactive,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,Driver,87,22,8.0,142,1,0.0,4,0
140,Kinect Sports,Rare Ltd.,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,Kinect Sports,73,51,7.6,113,1,0.95,3,0
141,Gears of War 3,Epic Games,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,Gears of War 3,91,96,8.1,1915,1,0.96,4,1
142,Gears of War,Epic Games,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,Gears of War,94,88,8.4,2833,1,0.0,4,0
143,Metal Gear Solid 2: Sons of Liberty,KCEJ,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,Metal Gear Solid 2: Sons of Liberty,96,42,8.8,1659,1,0.94,4,0
144,Sonic the Hedgehog 2,Backbone Entertainment,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,Sonic the Hedgehog 2,82,11,7.8,101,1,0.0,4,1
145,Metal Gear Solid 4: Guns of the Patriots,Kojima Productions,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,Metal Gear Solid 4: Guns of the Patriots,94,82,8.8,4160,1,0.94,4,0
146,Metal Gear Solid,KCEJ,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,Metal Gear Solid,94,20,9.2,1727,1,0.96,4,1
147,The Last of Us,Naughty Dog,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,The Last of Us Part II,93,121,5.7,155661,1,0.0,4,0
148,Final Fantasy XII,Square Enix,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,Final Fantasy XII: The Zodiac Age,86,75,8.4,590,1,0.87,4,1
149,LittleBigPlanet,Media Molecule,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,LittleBigPlanet,95,85,6.8,5576,1,0.0,4,0
150,Dragon Quest IX: Sentinels of the Starry Skies,Level 5,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,Dragon Quest IX: Sentinels of the Starry Skies,87,65,8.6,263,1,0.93,4,1
151,LEGO Star Wars: The Complete Saga,Traveller's Tales,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,LEGO Star Wars: The Complete Saga,80,24,7.9,218,1,0.0,4,1
152,Resident Evil 2,Capcom R&D Division 1,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,Resident Evil 2,91,85,8.9,3943,1,0.96,4,0
153,Tekken 2,Namco,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,Tekken 2,89,8,8.4,180,1,0.88,4,1
154,Cooking Mama,Planet Entertainment,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,Cooking Mama: Cookstar,46,8,6.8,17,1,0.0,2,0
155,Destiny,Bungie,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,Destiny,76,95,6.1,5558,1,0.0,4,0
156,Tetris,Nintendo,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,Tetris 99,83,27,8.2,258,1,0.0,4,0
157,Assassin's Creed II,Ubisoft Montreal,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,Assassin's Creed II,91,70,8.7,1869,1,0.96,4,0
158,Super Smash Bros.,Sora Ltd.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,Super Smash Bros. Ultimate,93,99,8.6,3149,1,0.0,4,0
159,Assassin's Creed,Ubisoft Montreal,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,Assassin's Creed Valhalla,80,50,7.2,2431,1,0.0,4,0
160,Batman: Arkham City,Rocksteady Studios,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,Batman: Arkham City,96,42,8.8,2978,1,0.96,4,1
161,Forza Motorsport 3,Turn 10,X360,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,Forza Motorsport 3,92,90,8.1,558,1,0.93,4,1
162,Monster Hunter Freedom Unite,Capcom,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,Monster Hunter Freedom Unite,81,48,8.5,170,1,0.94,4,1
163,Super Mario Advance,Nintendo,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,Super Mario Advance,84,19,7.3,65,1,0.0,4,0
166,Pokemon Stadium,HAL Labs,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,Pokemon Stadium 2,78,12,8.3,168,1,0.0,4,0
167,Call of Duty: World at War,Treyarch,PS3,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,Call of Duty: World at War,84,84,7.6,684,1,0.95,4,1
168,Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,Crash Bandicoot: The Wrath of Cortex,66,22,7.2,287,1,0.91,3,1
169,Minecraft,Mojang AB,PS3,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,Minecraft,93,33,8.0,6582,1,0.0,4,0
170,Final Fantasy XIII,Square Enix,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,Final Fantasy XIII,83,83,7.1,2858,1,0.0,4,1
171,Dr. Mario,Newcom,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,Dr. Mario 64,71,13,7.5,18,1,0.0,3,0
172,Pokemon Pinball,Jupiter Corporation,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,Pokemon Pinball: Ruby & Sapphire,81,22,7.7,55,1,0.9,4,1
173,Assassin's Creed III,Ubisoft,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,Assassin's Creed III,85,41,6.9,1572,1,0.94,4,0
174,Final Fantasy IX,SquareSoft,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,Final Fantasy IX,94,22,9.0,1357,1,0.0,4,1
176,Donkey Kong 64,Rare Ltd.,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,Donkey Kong 64,90,14,8.6,279,1,0.94,4,0
177,Assassin's Creed II,Ubisoft Montreal,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,Assassin's Creed II,91,70,0.0,0,1,0.96,4,0
